date;hour;price
2022-07-07;15;159,07
2022-07-07;16;155,02
2022-07-07;17;169,68
2022-07-07;18;174,71
2022-07-07;19;192,50
2022-07-07;20;236,61
2022-07-07;21;248,35
2022-07-07;22;240,25
2022-07-07;23;193,19
2022-07-08;0;55,08
2022-07-08;1;19,01
2022-07-08;2;19,07
2022-07-08;3;0,76
2022-07-08;4;1,15
2022-07-08;5;150,93
2022-07-08;6;165,26
2022-07-08;7;213,96
2022-07-08;8;229,86
2022-07-08;9;230,63
2022-07-08;10;224,62
2022-07-08;11;213,77
2022-07-08;12;179,50
2022-07-08;13;163,58
2022-07-08;14;158,15
2022-07-08;15;151,22
2022-07-08;16;166,11
2022-07-08;17;206,80
2022-07-08;18;212,43
2022-07-08;19;214,86
2022-07-08;20;216,13
2022-07-08;21;10,32
2022-07-08;22;3,35
2022-07-08;23;2,62
2022-07-09;0;2,72
2022-07-09;1;2,30
2022-07-09;2;2,28
2022-07-09;3;2,43
2022-07-09;4;2,54
2022-07-09;5;2,38
2022-07-09;6;2,46
2022-07-09;7;2,99
2022-07-09;8;3,16
2022-07-09;9;3,32
2022-07-09;10;3,27
2022-07-09;11;3,07
2022-07-09;12;2,77
2022-07-09;13;2,41
2022-07-09;14;1,57
2022-07-09;15;1,53
2022-07-09;16;2,40
2022-07-09;17;2,74
2022-07-09;18;3,18
2022-07-09;19;3,56
2022-07-09;20;19,93
2022-07-09;21;12,05
2022-07-09;22;3,07
2022-07-09;23;2,28
2022-07-10;0;1,75
2022-07-10;1;1,49
2022-07-10;2;1,35
2022-07-10;3;1,41
2022-07-10;4;1,23
2022-07-10;5;1,01
2022-07-10;6;1,40
2022-07-10;7;1,46
2022-07-10;8;1,57
2022-07-10;9;1,90
2022-07-10;10;2,26
2022-07-10;11;3,27
2022-07-10;12;2,88
2022-07-10;13;2,18
2022-07-10;14;2,17
2022-07-10;15;2,56
2022-07-10;16;3,89
2022-07-10;17;52,73
2022-07-10;18;112,00
2022-07-10;19;161,14
2022-07-10;20;162,97
2022-07-10;21;160,44
2022-07-10;22;154,57
2022-07-10;23;3,30
2022-07-11;0;3,06
2022-07-11;1;2,90
2022-07-11;2;2,85
2022-07-11;3;2,83
2022-07-11;4;2,86
2022-07-11;5;7,29
2022-07-11;6;386,45
2022-07-11;7;415,08
2022-07-11;8;433,97
2022-07-11;9;416,32
2022-07-11;10;404,98
2022-07-11;11;396,90
2022-07-11;12;371,29
2022-07-11;13;366,09
2022-07-11;14;322,49
2022-07-11;15;285,00
2022-07-11;16;312,15
2022-07-11;17;375,48
2022-07-11;18;401,64
2022-07-11;19;458,03
2022-07-11;20;458,62
2022-07-11;21;441,27
2022-07-11;22;439,25
2022-07-11;23;409,09
2022-07-12;0;188,15
2022-07-12;1;129,90
2022-07-12;2;10,31
2022-07-12;3;10,01
2022-07-12;4;9,24
2022-07-12;5;11,72
2022-07-12;6;409,57
2022-07-12;7;453,66
2022-07-12;8;448,90
2022-07-12;9;382,42
2022-07-12;10;320,85
2022-07-12;11;319,89
2022-07-12;12;290,33
2022-07-12;13;253,83
2022-07-12;14;255,94
2022-07-12;15;252,27
2022-07-12;16;185,89
2022-07-12;17;174,36
2022-07-12;18;178,74
2022-07-12;19;180,04
2022-07-12;20;186,71
2022-07-12;21;178,38
2022-07-12;22;47,12
2022-07-12;23;4,76
2022-07-13;0;3,63
2022-07-13;1;3,45
2022-07-13;2;3,75
2022-07-13;3;4,47
2022-07-13;4;4,67
2022-07-13;5;8,42
2022-07-13;6;49,60
2022-07-13;7;187,97
2022-07-13;8;188,61
2022-07-13;9;188,87
2022-07-13;10;187,90
2022-07-13;11;185,09
2022-07-13;12;143,48
2022-07-13;13;46,98
2022-07-13;14;9,84
2022-07-13;15;5,04
2022-07-13;16;3,61
2022-07-13;17;3,63
2022-07-13;18;5,03
2022-07-13;19;3,86
2022-07-13;20;3,04
2022-07-13;21;2,14
2022-07-13;22;1,64
2022-07-13;23;1,44
2022-07-14;0;1,43
2022-07-14;1;1,00
2022-07-14;2;0,82
2022-07-14;3;0,59
2022-07-14;4;0,66
2022-07-14;5;0,93
2022-07-14;6;1,40
2022-07-14;7;1,68
2022-07-14;8;2,50
2022-07-14;9;2,84
2022-07-14;10;2,84
2022-07-14;11;2,52
2022-07-14;12;2,10
2022-07-14;13;2,05
2022-07-14;14;1,63
2022-07-14;15;1,60
2022-07-14;16;1,59
2022-07-14;17;6,36
2022-07-14;18;27,09
2022-07-14;19;49,94
2022-07-14;20;18,08
2022-07-14;21;1,63
2022-07-14;22;1,47
2022-07-14;23;1,28
2022-07-15;0;1,28
2022-07-15;1;1,10
2022-07-15;2;0,94
2022-07-15;3;0,91
2022-07-15;4;0,77
2022-07-15;5;1,06
2022-07-15;6;1,43
2022-07-15;7;1,56
2022-07-15;8;10,00
2022-07-15;9;22,65
2022-07-15;10;8,40
2022-07-15;11;1,67
2022-07-15;12;1,61
2022-07-15;13;1,54
2022-07-15;14;1,49
2022-07-15;15;1,47
2022-07-15;16;1,48
2022-07-15;17;1,48
2022-07-15;18;1,60
2022-07-15;19;4,64
2022-07-15;20;3,58
2022-07-15;21;1,51
2022-07-15;22;1,49
2022-07-15;23;1,43
2022-07-16;0;1,59
2022-07-16;1;1,51
2022-07-16;2;1,49
2022-07-16;3;1,46
2022-07-16;4;1,41
2022-07-16;5;1,41
2022-07-16;6;1,39
2022-07-16;7;1,41
2022-07-16;8;1,43
2022-07-16;9;1,48
2022-07-16;10;1,50
2022-07-16;11;1,07
2022-07-16;12;0,07
2022-07-16;13;-0,05
2022-07-16;14;-0,10
2022-07-16;15;0,00
2022-07-16;16;1,03
2022-07-16;17;1,45
2022-07-16;18;1,48
2022-07-16;19;56,14
2022-07-16;20;168,25
2022-07-16;21;34,97
2022-07-16;22;1,84
2022-07-16;23;1,41
2022-07-17;0;1,51
2022-07-17;1;1,45
2022-07-17;2;1,45
2022-07-17;3;1,46
2022-07-17;4;1,45
2022-07-17;5;1,49
2022-07-17;6;1,51
2022-07-17;7;1,55
2022-07-17;8;1,81
2022-07-17;9;2,78
2022-07-17;10;3,55
2022-07-17;11;3,94
2022-07-17;12;3,95
2022-07-17;13;4,09
2022-07-17;14;4,37
2022-07-17;15;4,85
2022-07-17;16;7,56
2022-07-17;17;12,82
2022-07-17;18;16,02
2022-07-17;19;39,97
2022-07-17;20;59,90
2022-07-17;21;25,04
2022-07-17;22;29,81
2022-07-17;23;13,63
2022-07-18;0;31,93
2022-07-18;1;25,83
2022-07-18;2;23,41
2022-07-18;3;24,39
2022-07-18;4;25,05
2022-07-18;5;31,93
2022-07-18;6;58,53
2022-07-18;7;88,47
2022-07-18;8;135,83
2022-07-18;9;149,55
2022-07-18;10;160,45
2022-07-18;11;139,99
2022-07-18;12;99,09
2022-07-18;13;93,89
2022-07-18;14;86,10
2022-07-18;15;84,92
2022-07-18;16;86,29
2022-07-18;17;98,42
2022-07-18;18;105,79
2022-07-18;19;149,24
2022-07-18;20;104,22
2022-07-18;21;89,18
2022-07-18;22;79,47
2022-07-18;23;53,67
2022-07-19;0;38,92
2022-07-19;1;34,29
2022-07-19;2;34,72
2022-07-19;3;31,34
2022-07-19;4;28,59
2022-07-19;5;37,77
2022-07-19;6;52,55
2022-07-19;7;162,72
2022-07-19;8;166,33
2022-07-19;9;166,24
2022-07-19;10;165,67
2022-07-19;11;164,48
2022-07-19;12;163,31
2022-07-19;13;162,66
2022-07-19;14;161,93
2022-07-19;15;160,84
2022-07-19;16;161,88
2022-07-19;17;163,53
2022-07-19;18;164,20
2022-07-19;19;163,81
2022-07-19;20;162,79
2022-07-19;21;160,86
2022-07-19;22;157,83
2022-07-19;23;74,54
2022-07-20;0;51,78
2022-07-20;1;29,98
2022-07-20;2;20,86
2022-07-20;3;18,92
2022-07-20;4;18,58
2022-07-20;5;39,88
2022-07-20;6;56,71
2022-07-20;7;152,94
2022-07-20;8;165,29
2022-07-20;9;166,06
2022-07-20;10;165,34
2022-07-20;11;165,78
2022-07-20;12;192,80
2022-07-20;13;130,69
2022-07-20;14;130,69
2022-07-20;15;121,04
2022-07-20;16;121,06
2022-07-20;17;142,29
2022-07-20;18;142,32
2022-07-20;19;142,36
2022-07-20;20;142,31
2022-07-20;21;42,22
2022-07-20;22;33,15
2022-07-20;23;16,62
2022-07-21;0;36,95
2022-07-21;1;27,00
2022-07-21;2;24,85
2022-07-21;3;20,59
2022-07-21;4;16,78
2022-07-21;5;26,44
2022-07-21;6;301,89
2022-07-21;7;482,03
2022-07-21;8;476,59
