hour,date,price
12,2022-07-12,"290,33"
13,2022-07-12,"253,83"
14,2022-07-12,"255,94"
15,2022-07-12,"252,27"
16,2022-07-12,"185,89"
17,2022-07-12,"174,36"
18,2022-07-12,"178,74"
19,2022-07-12,"180,04"
20,2022-07-12,"186,71"
21,2022-07-12,"178,38"
22,2022-07-12,"47,12"
23,2022-07-12,"4,76"
0,2022-07-13,"3,63"
1,2022-07-13,"3,45"
2,2022-07-13,"3,75"
3,2022-07-13,"4,47"
4,2022-07-13,"4,67"
5,2022-07-13,"8,42"
6,2022-07-13,"49,60"
7,2022-07-13,"187,97"
8,2022-07-13,"188,61"
9,2022-07-13,"188,87"
10,2022-07-13,"187,90"
11,2022-07-13,"185,09"
12,2022-07-13,"143,48"
13,2022-07-13,"46,98"
14,2022-07-13,"9,84"
15,2022-07-13,"5,04"
16,2022-07-13,"3,61"
17,2022-07-13,"3,63"
18,2022-07-13,"5,03"
19,2022-07-13,"3,86"
20,2022-07-13,"3,04"
21,2022-07-13,"2,14"
22,2022-07-13,"1,64"
23,2022-07-13,"1,44"
0,2022-07-14,"1,43"
1,2022-07-14,"1,00"
2,2022-07-14,"0,82"
3,2022-07-14,"0,59"
4,2022-07-14,"0,66"
5,2022-07-14,"0,93"
6,2022-07-14,"1,40"
7,2022-07-14,"1,68"
8,2022-07-14,"2,50"
9,2022-07-14,"2,84"
10,2022-07-14,"2,84"
11,2022-07-14,"2,52"
12,2022-07-14,"2,10"
13,2022-07-14,"2,05"
14,2022-07-14,"1,63"
15,2022-07-14,"1,60"
16,2022-07-14,"1,59"
17,2022-07-14,"6,36"
18,2022-07-14,"27,09"
19,2022-07-14,"49,94"
20,2022-07-14,"18,08"
21,2022-07-14,"1,63"
22,2022-07-14,"1,47"
23,2022-07-14,"1,28"
0,2022-07-15,"1,28"
1,2022-07-15,"1,10"
2,2022-07-15,"0,94"
3,2022-07-15,"0,91"
4,2022-07-15,"0,77"
5,2022-07-15,"1,06"
6,2022-07-15,"1,43"
7,2022-07-15,"1,56"
8,2022-07-15,"10,00"
9,2022-07-15,"22,65"
10,2022-07-15,"8,40"
11,2022-07-15,"1,67"
12,2022-07-15,"1,61"
13,2022-07-15,"1,54"
14,2022-07-15,"1,49"
15,2022-07-15,"1,47"
16,2022-07-15,"1,48"
17,2022-07-15,"1,48"
18,2022-07-15,"1,60"
19,2022-07-15,"4,64"
20,2022-07-15,"3,58"
21,2022-07-15,"1,51"
22,2022-07-15,"1,49"
23,2022-07-15,"1,43"
0,2022-07-16,"1,59"
1,2022-07-16,"1,51"
2,2022-07-16,"1,49"
3,2022-07-16,"1,46"
4,2022-07-16,"1,41"
5,2022-07-16,"1,41"
6,2022-07-16,"1,39"
